city,recorded_at,hour,day_of_week,day_of_week_name,month,season,is_daytime,is_weekend,aqi,aqi_category,dominant_pollutant,pm25,pm10,no2,o3,co,so2,temp_c,dew_point_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_cardinal,visibility_km,weather_main,cloud_cover_pct
Mumbai,2026-04-11 21:00:00,21,5,Saturday,4,Summer,0,1,160,Unhealthy,pm25,160,105,2.3,11.5,2.5,11.9,28.99,22.99,70,1010,3.09,0.0,W,4.0,Haze,0
Delhi,2026-04-11 21:00:00,21,5,Saturday,4,Summer,0,1,116,Unhealthy for Sensitive Groups,pm25,116,114,45.2,1.4,8.8,4.2,28.05,14.05,30,1008,1.54,0.0,NW,4.5,Haze,75
Chennai,2026-04-11 21:00:00,21,5,Saturday,4,Summer,0,1,57,Moderate,pm25,57,27,4.9,6.8,4.5,2.3,29.79,26.19,82,1011,4.12,0.0,SE,6.0,Clouds,20
Kolkata,2026-04-11 21:00:00,21,5,Saturday,4,Summer,0,1,103,Unhealthy for Sensitive Groups,pm25,103,62,30.6,3.8,10.5,8.0,26.97,18.37,57,1008,2.57,0.0,SE,3.5,Haze,20
Mumbai,2026-04-11 22:00:00,22,5,Saturday,4,Summer,0,1,153,Unhealthy,pm25,153,92,2.0,11.5,2.0,11.9,28.99,22.99,70,1011,3.09,0.0,W,4.0,Haze,0
Delhi,2026-04-11 22:00:00,22,5,Saturday,4,Summer,0,1,132,Unhealthy for Sensitive Groups,pm25,132,114,49.8,0.8,10.6,4.7,28.05,14.05,30,1008,1.54,0.0,NW,4.5,Haze,75
Chennai,2026-04-11 22:00:00,22,5,Saturday,4,Summer,0,1,55,Moderate,pm25,55,26,5.1,6.6,4.0,2.5,29.48,25.88,82,1011,4.12,0.0,SE,6.0,Clouds,20
Kolkata,2026-04-11 21:00:00,21,5,Saturday,4,Summer,0,1,103,Unhealthy for Sensitive Groups,pm25,103,62,30.6,3.8,10.5,8.0,26.97,18.37,57,1008,2.57,0.0,SE,3.5,Haze,20
Mumbai,2026-05-27 20:00:00,20,2,Wednesday,5,Summer,0,0,82,Moderate,pm25,82,48,2.3,11.6,2.4,11.9,30.99,24.99,70,1010,3.09,0.0,W,4.0,Haze,20
Delhi,2026-05-27 20:00:00,20,2,Wednesday,5,Summer,0,0,119,Unhealthy for Sensitive Groups,pm10,63,119,43.7,8.0,2.6,6.9,40.05,23.05,15,999,2.06,0.0,W,5.0,Clear,0
Chennai,2026-05-27 20:00:00,20,2,Wednesday,5,Summer,0,0,72,Moderate,pm25,72,44,5.2,11.9,9.7,2.2,32.18,24.78,63,1007,4.12,0.0,S,5.0,Haze,20
Kolkata,2026-05-27 20:00:00,20,2,Wednesday,5,Summer,0,0,65,Moderate,pm25,65,46,9.0,11.3,2.6,1.1,25.97,23.77,89,1007,7.2,0.0,E,3.5,Thunderstorm,75
Mumbai,2026-05-29 19:00:00,19,4,Friday,5,Summer,0,0,118,Unhealthy for Sensitive Groups,pm25,118,65,2.4,11.7,2.6,11.9,31.99,25.19,66,1008,5.66,0.0,W,4.0,Haze,40
Delhi,2026-05-29 19:00:00,19,4,Friday,5,Summer,0,0,76,Moderate,pm10,63,76,17.3,13.4,3.4,5.2,28.05,19.45,57,1001,5.66,0.0,SE,4.5,Haze,40
Chennai,2026-05-29 19:00:00,19,4,Friday,5,Summer,0,0,78,Moderate,pm25,78,50,5.0,12.8,8.8,2.2,31.85,26.85,75,1005,5.14,0.0,S,6.0,Clouds,40
Kolkata,2026-05-29 19:00:00,19,4,Friday,5,Summer,0,0,46,Good,pm25,46,24,11.1,6.3,4.9,3.0,23.97,21.57,88,1006,2.06,0.0,E,2.8,Haze,20
Mumbai,2026-05-30 14:00:00,14,5,Saturday,5,Summer,1,1,123,Unhealthy for Sensitive Groups,pm25,123,66,2.4,11.6,2.8,11.9,33.99,25.79,59,1008,5.14,0.0,W,5.0,Smoke,40
Delhi,2026-05-30 14:00:00,14,5,Saturday,5,Summer,1,1,52,Moderate,pm10,44,52,7.1,18.1,2.0,5.2,35.05,22.25,36,1004,5.66,0.0,SE,7.0,Clear,0
Chennai,2026-05-30 13:00:00,13,5,Saturday,5,Summer,1,1,76,Moderate,pm25,76,48,4.7,12.7,9.0,2.2,33.97,26.37,62,1006,4.12,0.0,NE,6.0,Clouds,40
Kolkata,2026-05-30 12:00:00,12,5,Saturday,5,Summer,1,1,65,Moderate,pm25,65,48,9.6,10.8,3.1,1.9,33.97,26.37,62,1003,3.09,0.0,NE,4.5,Haze,40
Mumbai,2026-05-30 16:00:00,16,5,Saturday,5,Summer,1,1,156,Unhealthy,pm25,156,88,2.3,11.5,2.7,11.9,31.99,25.99,70,1008,5.66,0.0,W,4.5,Haze,20
Delhi,2026-05-30 20:00:00,20,5,Saturday,5,Summer,0,1,82,Moderate,pm10,55,82,30.8,3.2,9.1,5.6,29.05,18.05,45,1004,5.14,10.29,SW,4.0,Haze,75
Chennai,2026-05-30 16:00:00,16,5,Saturday,5,Summer,1,1,73,Moderate,pm25,73,45,5.0,12.4,9.7,2.4,31.74,25.54,69,1007,3.09,0.0,SE,6.0,Clouds,40
Kolkata,2026-05-30 12:00:00,12,5,Saturday,5,Summer,1,1,65,Moderate,pm25,65,48,9.6,10.8,3.1,1.9,26.97,22.57,78,1005,0.0,0.0,N,3.5,Haze,75
Mumbai,2026-05-30 16:00:00,16,5,Saturday,5,Summer,1,1,156,Unhealthy,pm25,156,88,2.3,11.5,2.7,11.9,34.99,26.79,59,1009,5.14,0.0,W,4.0,Haze,40
Delhi,2026-05-31 13:00:00,13,6,Sunday,5,Summer,1,1,55,Moderate,pm25,55,50,8.0,14.9,4.6,3.7,33.05,21.65,43,1007,3.6,0.0,E,6.0,Clouds,40
Chennai,2026-05-30 16:00:00,16,5,Saturday,5,Summer,1,1,73,Moderate,pm25,73,45,5.0,12.4,9.7,2.4,36.48,27.48,55,1006,3.13,4.02,SE,7.0,Clouds,20
Delhi,2026-05-31 23:00:00,23,6,Sunday,5,Summer,0,1,59,Moderate,pm25,59,52,20.0,6.9,7.3,4.7,27.05,19.25,61,1007,3.09,0.0,E,5.0,Haze,40
Delhi,2026-06-01 10:00:00,10,0,Monday,6,Monsoon,1,0,91,Moderate,pm25,91,59,10.4,10.0,4.6,5.6,32.05,21.65,48,1009,5.14,0.0,E,6.0,Clouds,26
Mumbai,2026-06-01 16:00:00,16,0,Monday,6,Monsoon,1,0,126,Unhealthy for Sensitive Groups,pm25,126,67,1.9,11.5,1.9,11.9,31.99,25.19,66,1008,5.14,0.0,W,5.0,Haze,40
Delhi,2026-06-01 19:00:00,19,0,Monday,6,Monsoon,0,0,65,Moderate,pm25,65,63,11.8,19.3,5.0,5.1,32.05,21.65,48,1005,5.14,0.0,E,5.0,Haze,62
Chennai,2026-06-01 16:00:00,16,0,Monday,6,Monsoon,1,0,79,Moderate,pm25,79,52,4.1,9.3,3.2,8.4,31.6,25.8,71,1007,2.57,0.0,S,5.0,Mist,40
Kolkata,2026-06-01 16:00:00,16,0,Monday,6,Monsoon,1,0,73,Moderate,pm25,73,48,12.0,7.5,2.4,2.1,30.97,25.77,74,1006,3.6,0.0,SE,3.5,Haze,20
Mumbai,2026-06-02 12:00:00,12,1,Tuesday,6,Monsoon,1,0,108,Unhealthy for Sensitive Groups,pm25,108,61,2.3,11.6,2.6,11.9,33.99,24.99,55,1008,6.17,0.0,W,5.0,Smoke,40
Delhi,2026-06-02 13:00:00,13,1,Tuesday,6,Monsoon,1,0,78,Moderate,pm25,78,67,4.2,19.8,2.6,4.3,35.05,23.25,41,1006,4.12,0.0,E,5.0,Haze,40
Chennai,2026-06-02 12:00:00,12,1,Tuesday,6,Monsoon,1,0,80,Moderate,pm25,80,51,5.2,12.3,9.1,2.3,38.22,27.62,47,1006,4.12,0.0,W,6.0,Clouds,20
Kolkata,2026-06-02 12:00:00,12,1,Tuesday,6,Monsoon,1,0,77,Moderate,pm25,77,44,11.6,13.3,2.9,3.2,35.97,25.77,49,1003,2.57,0.0,E,4.0,Haze,40
Mumbai,2026-06-03 12:00:00,12,2,Wednesday,6,Monsoon,1,0,85,Moderate,pm25,85,50,2.5,11.6,2.9,11.9,31.32,23.72,62,1007,3.89,3.73,SW,10.0,Clear,0
